Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
330,Vitaly Potapenko\potapvi01,C,26,BOS,79,9,1343,3.7,8.1,0.455,0,0,,3.7,8.1,0.455,2.4,3.2,0.742,4.5,4.8,9.3,0.8,1,0.5,1.7,4.7,9.7,2.08
331,Brent Price\pricebr01,PG,33,SAC,20,0,89,3.6,10.9,0.333,1.6,6.1,0.267,2,4.9,0.417,3.6,5.3,0.692,1.6,1.6,3.2,3.6,1.2,0.4,4,5.3,12.5,1.85
332,Joel Przybilla\przybjo01,C,22,MIL,71,62,1128,2.4,4.5,0.535,0,0,0,2.4,4.5,0.539,1.2,2.9,0.422,2.5,6.5,9,0.7,0.6,3.8,1.4,6.4,6.1,2.16
333,Vladimir Radmanović\radmavl01,PF,21,SEA,61,16,1230,4.3,10.4,0.412,1.9,4.6,0.42,2.3,5.8,0.406,1.4,2.1,0.681,1.3,5.4,6.7,2.4,1.6,0.7,2.1,3.5,11.9,2.08
334,Zach Randolph\randoza01,PF,20,POR,41,0,238,7.3,16.2,0.449,0,0,,7.3,16.2,0.449,2.7,4.1,0.667,4.7,5.7,10.4,2,1.1,0.6,2.3,4.4,17.2,2.06
335,Theo Ratliff\ratlith01,C,28,ATL,3,2,82,4.4,8.8,0.5,0,0,,4.4,8.8,0.5,2.6,4.8,0.545,2.2,4.8,7,0.4,0.4,3.5,3.1,3.5,11.4,2.08
336,Željko Rebrača\rebraze01,C,29,DET,74,4,1179,5.8,11.4,0.505,0,0,,5.8,11.4,0.505,4.1,5.3,0.771,2.6,6.3,8.9,1.2,0.9,2.2,2.6,5.9,15.7,2.13
337,Eldridge Recasner\recasel01,PG-SG,34,TOT,6,0,33,2.2,6.5,0.333,0,1.1,0,2.2,5.5,0.4,1.1,1.1,1,0,0,0,5.5,1.1,0,1.1,4.4,5.5,1.9
338,Michael Redd\reddmi01,SG,22,MIL,67,8,1417,7.5,15.5,0.483,2.2,5,0.444,5.2,10.4,0.501,2.3,2.9,0.791,2,3.7,5.7,2.3,1.1,0.2,1.4,2.4,19.5,1.98
339,Don Reid\reiddo01,PF,28,ORL,68,5,714,4.5,9.6,0.474,0,0,,4.5,9.6,0.474,2.2,3.4,0.647,3.3,5.6,8.9,1.4,1,2.2,2.7,9.1,11.3,2.03
340,Glen Rice\ricegl01,SF,34,HOU,20,20,606,3.9,9.9,0.389,1.1,3.8,0.281,2.8,6.1,0.456,1.4,1.8,0.8,0.3,2.5,2.8,1.8,0.7,0.2,1.4,2,10.2,2.03
341,Jason Richardson\richaja01,SG,21,GSW,80,75,2629,6.4,14.9,0.426,1.1,3.4,0.333,5.2,11.6,0.453,1.9,2.9,0.671,1.7,3,4.7,3.2,1.5,0.4,2.2,2.7,15.8,1.98
342,Norm Richardson\richano01,SG,22,TOT,11,0,67,5.4,14,0.385,2.1,4.3,0.5,3.2,9.7,0.333,3.2,4.8,0.667,1.6,2.7,4.3,1.1,0,0,1.6,2.7,16.1,1.96
343,Quentin Richardson\richaqu01,SG,21,LAC,81,0,2152,6.7,15.5,0.432,2.2,5.8,0.381,4.5,9.7,0.463,2.4,3.1,0.765,1.9,3.7,5.6,2.1,1.3,0.4,1.7,2.4,18,1.98
344,Mitch Richmond*\richmmi01,SG,36,LAL,64,2,709,5.1,12.5,0.405,0.9,3.1,0.29,4.2,9.4,0.443,2.1,2.2,0.955,0.7,4.1,4.8,2.9,0.9,0.3,2,3.1,13.2,1.96
345,Isaiah Rider\rideris01,SG,30,DEN,10,1,173,7.7,16.9,0.457,1.2,3.1,0.4,6.5,13.7,0.47,2.7,3.5,0.765,2.1,4.8,6.9,2.5,0.6,0.4,2.9,2.3,19.4,1.96
346,Clifford Robinson\robincl02,PF,35,DET,80,80,2855,5.7,13.5,0.425,1.5,3.8,0.378,4.3,9.6,0.443,1.8,2.6,0.694,1,3.9,4.9,2.5,1.1,1.2,1.9,3.1,14.7,2.08
347,David Robinson*\robinda01,C,36,SAS,78,78,2303,5.3,10.5,0.507,0,0,,5.3,10.5,0.507,4.2,6.2,0.681,3,7.1,10.1,1.5,1.3,2.2,1.6,3,14.9,2.16
348,Eddie Robinson\robined01,SF,25,CHI,29,12,653,6.2,13.6,0.453,0.1,0.3,0.4,6.1,13.3,0.455,2,2.6,0.75,1.3,3,4.3,2,1.3,0.6,2,1.9,14.4,2.03
349,Glenn Robinson\robingl01,SF,29,MIL,66,63,2346,8.2,17.6,0.467,0.9,2.7,0.326,7.3,14.9,0.493,3.6,4.3,0.837,1.1,5.2,6.2,2.6,1.5,0.6,2.7,2.7,21,2.01
350,Larry Robinson\robinla01,SG,34,NYK,2,0,10,3.6,14.4,0.25,3.6,7.2,0.5,0,7.2,0,0,0,,0,7.2,7.2,0,0,0,0,3.6,10.8,1.9
351,Carlos Rogers\rogerca01,C,30,IND,22,1,168,5.1,9.2,0.558,0.2,1.3,0.167,4.9,7.9,0.622,2.1,4.1,0.526,3,5.1,8.1,0.6,1.1,1.3,1.1,3.6,12.6,2.11
352,Rodney Rogers\rogerro01,SF,30,TOT,77,8,1880,6.8,14.5,0.471,1.7,4.5,0.374,5.1,10,0.514,2.2,2.9,0.785,2.5,4.2,6.7,2.1,1.3,0.6,2.1,4.3,17.6,2.01
353,Sean Rooks\rooksse01,C,32,LAC,61,2,728,4,9.6,0.418,0,0,,4,9.6,0.418,1,1.4,0.724,1.6,4.5,6.1,1.2,0.6,1,1,5.6,9,2.08
