Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
1,Shareef Abdur-Rahim\abdursh01,C,30,SAC,80,45,2015,5.5,11.7,0.474,0.1,0.4,0.15,5.5,11.3,0.484,3,4.2,0.726,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2,2.06
2,Hassan Adams\adamsha01,SG,22,NJN,61,8,495,5.5,9.8,0.556,0,0.1,0,5.5,9.7,0.56,1.7,2.6,0.667,2.5,3.1,5.6,0.9,1.2,0.3,1.6,3.4,12.7,1.93
3,Maurice Ager\agerma01,SG,22,DAL,32,1,214,3.7,11.8,0.314,0.8,2.5,0.333,2.9,9.3,0.309,3.4,5.6,0.606,0.2,3.4,3.5,1.2,0.7,0.5,2.5,4.5,11.6,1.96
4,LaMarcus Aldridge\aldrila01,C,21,POR,63,22,1392,6.2,12.4,0.503,0,0.1,0,6.2,12.3,0.505,2.1,3,0.722,3.7,4.3,8.1,0.6,0.6,1.9,1.1,4.8,14.6,2.11
5,Malik Allen\allenma01,PF,28,CHI,60,1,638,6,14.6,0.415,0,0.1,0,6,14.5,0.416,1.6,1.9,0.824,2.4,4.3,6.7,0.9,1,0.9,1.2,4.8,13.7,2.08
6,Ray Allen*\allenra02,SG,31,SEA,55,55,2219,8.2,18.7,0.438,2.7,7.2,0.372,5.5,11.5,0.479,4.5,5,0.903,0.9,3.1,4,3.7,1.3,0.2,2.5,1.8,23.6,1.96
7,Tony Allen\allento01,SG,25,BOS,33,18,805,5.9,11.6,0.514,0.4,1.5,0.242,5.6,10.1,0.553,4.7,6,0.784,1.6,4,5.5,2.5,2.2,0.5,3.4,3.9,16.9,1.93
8,Rafer Alston\alstora01,PG,30,HOU,82,82,3040,4.5,12.1,0.375,2.3,6.3,0.363,2.3,5.8,0.389,1.5,2.1,0.734,0.3,3,3.3,5.3,1.5,0.1,2,2.3,12.9,1.88
9,Lou Amundson\amundlo01,PF,24,TOT,11,0,89,2.4,6.1,0.4,0,0,,2.4,6.1,0.4,1.6,4,0.4,5.3,6.1,11.3,0.4,0.4,3.2,2,6.1,6.5,2.06
10,Alan Anderson\anderal01,SG,24,CHA,17,0,256,5.2,11.4,0.457,0.7,2.8,0.25,4.5,8.6,0.525,2.7,3.2,0.826,1.5,3,4.5,3,1,0,3.1,4.6,13.8,1.98
11,Derek Anderson\anderde01,SF,32,CHA,50,32,1190,3.8,8.9,0.429,1.6,4.6,0.355,2.2,4.3,0.507,2.8,3.2,0.877,0.9,2.5,3.4,4,1.6,0.2,1.7,3.5,12.1,1.96
12,Carmelo Anthony\anthoca01,SF,22,DEN,65,65,2486,10,21,0.476,0.6,2.2,0.268,9.4,18.9,0.499,6.6,8.2,0.808,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2,2.01
13,Rafael Araújo\araujra01,C,26,UTA,28,0,248,3.9,9.4,0.415,0,0,,3.9,9.4,0.415,2.6,4.2,0.621,3.2,6.4,9.6,1.5,0.9,0.3,2.5,5.7,10.5,2.11
14,Gilbert Arenas\arenagi01,PG,25,WAS,74,73,2942,7.9,18.9,0.418,2.5,7.1,0.351,5.4,11.8,0.459,7.4,8.8,0.844,0.7,3.4,4.1,5.4,1.7,0.2,2.9,3,25.8,1.93
15,Trevor Ariza\arizatr01,SG,21,ORL,57,7,1278,5.6,10.5,0.539,0,0.2,0,5.6,10.3,0.549,3,4.8,0.62,2.8,4.3,7,1.8,1.7,0.5,2.4,3.8,14.3,2.03
16,Darrell Armstrong\armstda01,PG,38,IND,81,4,1275,4.4,10.6,0.414,2,6,0.336,2.4,4.6,0.515,2.1,2.6,0.785,1,2.9,3.8,5.4,2,0.2,2.1,2.9,12.9,1.83
17,Hilton Armstrong\armsthi01,C,22,NOK,56,5,634,3.9,7.1,0.544,0,0,,3.9,7.1,0.544,2.3,3.8,0.597,3.3,5.2,8.5,0.6,0.7,1.5,2,4.5,10,2.11
18,Carlos Arroyo\arroyca01,PG,27,ORL,72,5,1304,5.6,13.2,0.425,0.4,1.4,0.275,5.2,11.8,0.443,3.6,4.6,0.795,0.9,2.8,3.7,5.6,1.1,0.1,2.5,3.6,15.2,1.88
19,Chucky Atkins\atkinch01,PG,32,MEM,75,23,2064,5.4,12.5,0.434,2,5.3,0.379,3.4,7.1,0.474,4.4,5.4,0.81,0.3,2.1,2.4,6,0.9,0.1,2.2,2.4,17.2,1.80
20,James Augustine\augusja01,PF,22,ORL,2,0,7,5.1,15.4,0.333,0,0,,5.1,15.4,0.333,0,0,,5.1,10.3,15.4,10.3,0,0,0,10.3,10.3,2.08
21,Kelenna Azubuike\azubuke01,SG,23,GSW,41,9,669,5.3,11.8,0.445,1.8,4.3,0.43,3.4,7.6,0.454,3.3,4.2,0.782,1.4,3.7,5.1,1.5,1.2,0.5,2.1,2.6,15.7,1.96
22,Renaldo Balkman\balkmre01,SF,22,NYK,68,1,1064,4.7,9.3,0.505,0.2,0.9,0.185,4.5,8.4,0.54,1.7,3,0.567,3.3,6.7,9.9,1.5,1.9,1.5,1.7,4.9,11.3,2.03
23,Marcus Banks\banksma01,PG,25,PHO,45,1,503,6,14,0.429,0.4,2.1,0.172,5.7,12,0.473,3.4,4.3,0.8,0.7,2,2.7,4.3,1.6,0.2,2.9,5,15.8,1.88
24,Leandro Barbosa\barbole01,SG,24,PHO,80,18,2613,7.3,15.3,0.476,2.6,6,0.434,4.7,9.3,0.504,2.7,3.2,0.845,0.3,2.6,2.9,4.4,1.3,0.2,2,2.9,19.9,1.90
25,J.J. Barea\bareajo01,PG,22,DAL,33,1,191,5.3,14.7,0.359,1.1,4,0.286,4.1,10.7,0.386,3,4.5,0.667,1.3,3.4,4.7,4.5,0.2,0.2,2.6,3.6,14.7,1.78
26,Andrea Bargnani\bargnan01,PF,21,TOR,65,2,1629,5.9,13.8,0.427,2.2,5.9,0.373,3.7,7.9,0.468,2.6,3.1,0.824,1.1,4.5,5.6,1.1,0.7,1.2,2.4,4,16.6,2.13
27,Matt Barnes\barnema02,PF,26,GSW,76,23,1813,5.5,12.5,0.438,2.1,5.8,0.366,3.4,6.7,0.5,1.8,2.4,0.732,1.8,5.1,6.9,3.1,1.4,0.8,2.1,3.7,14.8,2.01
28,Andre Barrett\barrean01,PG,24,CHI,6,0,29,5,9.9,0.5,0,0,,5,9.9,0.5,0,0,,1.2,5,6.2,8.7,0,0,5,5,9.9,1.78
29,Earl Barron\barroea01,C,25,MIA,28,0,203,4.3,14.7,0.289,0,0.2,0,4.3,14.5,0.293,3,3.2,0.944,3.4,3.9,7.3,0.9,1.1,0.7,2,3.7,11.5,2.13
30,Brent Barry\barrybr01,SG,35,SAS,75,28,1631,4.5,9.4,0.475,2.8,6.3,0.446,1.6,3,0.536,2.3,2.6,0.88,0.4,3.2,3.5,3,1.2,0.3,1.3,1.9,14,1.98
31,Brandon Bass\bassbr01,PF,21,NOK,21,3,162,3.3,9.8,0.341,0,0.2,0,3.3,9.6,0.349,2.7,3.6,0.75,2.9,6.7,9.6,0.7,0.4,0.7,2.2,3.6,9.3,2.03
32,Maceo Baston\bastoma01,PF,31,IND,47,2,405,4.4,6.8,0.645,0.3,0.6,0.429,4.1,6.1,0.667,3.3,4.2,0.787,1.9,4.7,6.6,1.4,1.1,1.6,2.8,5.8,12.3,2.06
33,Esteban Batista\batises01,PF,23,ATL,13,0,81,3.6,7.1,0.5,0,0,,3.6,7.1,0.5,1.8,3.1,0.571,3.1,10.2,13.3,1.8,1.3,0,1.8,5.8,8.9,2.08
34,Tony Battie\battito01,PF,30,ORL,66,66,1575,4,8.2,0.489,0,0,0,4,8.2,0.49,1.2,1.8,0.675,2.1,5.8,7.9,0.8,0.7,0.7,1.4,4.2,9.2,2.11
35,Shane Battier\battish01,SF,28,HOU,82,82,2988,3.5,7.9,0.446,1.9,4.5,0.421,1.6,3.4,0.48,1.1,1.4,0.779,0.8,3.3,4.1,2.1,1,0.7,0.9,2.3,10,2.03
36,Charlie Bell\bellch01,SG,27,MIL,82,64,2848,5.4,12.3,0.437,1.6,4.6,0.352,3.8,7.7,0.488,1.7,2.1,0.78,0.7,2.3,3,3.1,1.2,0.1,1.3,2.7,14,1.90
37,Raja Bell\bellra01,SG,30,PHO,78,78,2917,5.1,11.7,0.432,2.5,6.1,0.413,2.5,5.6,0.452,1.5,1.9,0.776,0.6,2.5,3.1,2.4,0.6,0.3,1,2.9,14.1,1.96
38,Mike Bibby\bibbymi01,PG,28,SAC,82,82,2784,6.1,15.1,0.404,2.2,6.2,0.36,3.9,8.9,0.435,3.7,4.5,0.83,0.5,2.9,3.4,5,1.1,0.1,2.5,1.8,18.1,1.85
39,Andris Biedriņš\biedran01,C,20,GSW,82,63,2382,5.3,8.8,0.599,0,0,,5.3,8.8,0.599,1.3,2.5,0.521,3.8,7.7,11.5,1.3,1,2.1,1.8,4.6,11.8,2.11
40,Chauncey Billups\billuch01,PG,30,DET,70,70,2533,4.9,11.6,0.427,1.5,4.5,0.345,3.4,7.1,0.479,5.5,6.2,0.883,0.3,3,3.4,7.1,1.2,0.2,2,2.3,16.9,1.90
41,Steve Blake\blakest01,PG,26,TOT,82,42,2225,3.4,8.2,0.411,1.1,3.4,0.322,2.3,4.9,0.472,0.7,1,0.672,0.3,2.4,2.7,6.6,1,0.1,2.1,2,8.5,1.90
42,Will Blalock\blalowi01,PG,23,DET,14,0,166,2,6.5,0.3,0.2,1.1,0.2,1.7,5.4,0.32,1.3,1.3,1,1.3,2,3.3,3.7,1.1,0,2.6,2,5.4,1.83
43,Andray Blatche\blatcan01,PF,20,WAS,56,13,682,4.5,10.4,0.437,0.2,1.4,0.148,4.3,9,0.482,1.6,2.6,0.612,4.1,6,10.1,2.1,0.9,1.7,2.6,5,10.9,2.11
44,Mark Blount\blounma01,C,31,MIN,82,81,2544,6,11.9,0.509,0.1,0.4,0.29,5.9,11.4,0.517,2.1,2.8,0.754,1.9,5.2,7.1,0.9,0.6,0.8,2.3,3.4,14.3,2.13
45,Keith Bogans\boganke01,SG,26,ORL,59,18,990,3.6,8.9,0.404,1.9,5,0.387,1.7,3.9,0.426,1.7,2.3,0.746,0.6,2.8,3.4,2.1,1,0.1,1.7,3.6,10.8,1.96
46,Andrew Bogut\bogutan01,C,22,MIL,66,66,2258,5.5,10,0.553,0,0.1,0.2,5.5,9.9,0.556,1.8,3.1,0.577,2.7,6.6,9.3,3.2,0.8,0.6,2.4,3.4,12.9,2.13
47,Matt Bonner\bonnema01,PF,26,SAS,56,0,653,5.8,13.1,0.447,2,5.2,0.383,3.9,7.9,0.49,1.5,2.1,0.711,3.5,5.1,8.6,1.2,0.9,0.6,1.4,3.7,15.2,2.08
48,Josh Boone\boonejo01,PF,22,NJN,61,0,669,5.3,9.2,0.579,0,0,,5.3,9.2,0.579,3,5.5,0.544,3.4,6,9.5,0.5,0.6,1.1,1.8,5.1,13.7,2.08
49,Calvin Booth\boothca01,C,30,WAS,44,1,380,2.9,6.3,0.47,0.1,0.2,0.5,2.8,6.1,0.469,0.6,0.9,0.6,2.6,5.1,7.7,1.7,0.4,2.7,0.9,6.7,6.5,2.11
50,Carlos Boozer\boozeca01,PF,25,UTA,74,74,2557,9.1,16.2,0.561,0,0,,9.1,16.2,0.561,3.6,5.2,0.685,3.3,8.9,12.2,3.1,1,0.3,2.7,3.1,21.8,2.06
51,Chris Bosh*\boshch01,C,22,TOR,69,69,2658,7.4,14.8,0.496,0.2,0.5,0.343,7.2,14.3,0.501,6.3,8,0.785,2.5,7.5,10,2.4,0.5,1.2,2.4,2.2,21.1,2.11
52,Bruce Bowen\bowenbr01,SF,35,SAS,82,82,2464,2.8,6.8,0.405,1.3,3.4,0.384,1.5,3.4,0.426,0.6,1.1,0.589,0.3,2.9,3.3,1.7,0.9,0.4,0.9,2.6,7.5,2.01
53,Earl Boykins\boykiea01,PG,30,TOT,66,23,2031,5.7,13.6,0.42,1.7,4.2,0.397,4,9.4,0.43,3.9,4.3,0.898,0.9,1.6,2.5,5.2,1,0,2.1,1.6,17,1.65
54,Cedric Bozeman\bozemce01,SG,23,ATL,23,5,199,2,7.1,0.282,0.4,2.4,0.154,1.6,4.7,0.346,0.4,1.1,0.333,0.5,3.6,4.2,1.6,0.9,0.4,1.6,5.8,4.7,1.98
55,Elton Brand\brandel01,PF,27,LAC,80,80,3077,7.5,14.2,0.533,0,0,1,7.5,14.2,0.532,4.1,5.4,0.761,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2,2.03
56,Ronnie Brewer\brewero02,SG,21,UTA,56,14,675,5.4,10.3,0.528,0,0.5,0,5.4,9.8,0.554,3,4.4,0.675,2,2,4,1.3,2,0.3,1.3,2.3,13.9,2.01
57,Primož Brezec\brezepr01,C,27,CHA,58,40,838,5.2,11.8,0.445,0,0.1,0.333,5.2,11.6,0.446,1.8,2.9,0.632,3.4,4.5,7.9,1,0.5,1,1.6,6.9,12.4,2.18
58,Andre Brown\brownan01,PF,25,SEA,38,0,271,5.6,9.8,0.568,0,0.1,0,5.6,9.7,0.575,1.2,2,0.6,3.5,6.4,9.8,0.3,0.8,0.5,3.9,3.5,12.4,2.06
59,Dee Brown\brownde03,PG,22,UTA,49,0,450,2.6,7.8,0.327,0.5,2.2,0.214,2.1,5.6,0.371,1.9,3,0.649,0.6,2.6,3.2,6.6,1.8,0.6,2.5,4.1,7.5,1.83
60,Devin Brown\brownde02,SG,28,NOK,58,49,1662,5,12,0.42,1.8,4.9,0.357,3.3,7.1,0.463,2.7,3.4,0.794,1.2,4.2,5.4,3.2,1,0.2,2,3,14.5,1.96
61,Kwame Brown\brownkw01,C,24,LAL,41,28,1132,4.5,7.7,0.591,0,0,0,4.5,7.7,0.593,1.9,4.3,0.44,2.6,5.2,7.8,2.4,1.2,1.6,2.4,3.9,11,2.11
62,P.J. Brown\brownpj01,PF,37,CHI,72,49,1456,4.2,10.3,0.407,0,0,0,4.2,10.3,0.409,2.4,3,0.787,3.2,5.4,8.6,1.2,0.6,1.3,2.1,4.6,10.8,2.11
63,Shannon Brown\brownsh01,SG,21,CLE,23,5,202,5,13.2,0.378,1.2,4.5,0.28,3.7,8.7,0.429,1.8,2.5,0.714,1.1,2.7,3.7,1.8,1.2,0.5,2.5,4.3,13,1.93
64,Kobe Bryant*\bryanko01,SG,28,LAL,77,77,3140,9.3,20.1,0.463,1.6,4.6,0.344,7.8,15.6,0.497,7.6,8.8,0.868,0.9,4.2,5,4.7,1.3,0.4,2.9,2.4,27.9,1.98
65,Greg Buckner\buckngr01,SG,30,DAL,76,11,1372,3.2,7.8,0.411,0.8,2.7,0.311,2.4,5.1,0.464,0.7,0.9,0.794,0.9,3.2,4.1,1.8,1.2,0.2,1,4,8,1.93
66,Pat Burke\burkepa01,C,33,PHO,23,0,164,5,14.3,0.354,1.3,4.8,0.273,3.7,9.4,0.395,1.8,2.9,0.615,2.6,7.7,10.3,1.1,0.7,0.4,1.5,4.2,13.2,2.11
67,Caron Butler\butleca01,SF,26,WAS,63,63,2474,6.6,14.2,0.463,0.3,1,0.25,6.3,13.1,0.48,4.1,4.8,0.863,2.1,4.7,6.8,3.4,1.9,0.2,2.6,2.7,17.5,2.01
68,Jackie Butler\butleja01,C,21,SAS,11,2,103,5.6,12.2,0.457,0,0,,5.6,12.2,0.457,3.1,3.5,0.9,2.1,5.6,7.7,1.7,0.7,0,3.5,5.6,14.3,2.08
69,Rasual Butler\butlera01,SF,27,NOK,81,38,2223,5.1,12.8,0.398,2.2,5.9,0.369,2.9,6.9,0.424,0.9,1.4,0.644,0.7,3.5,4.1,1,0.6,0.9,1.1,2.4,13.2,2.01
70,Andrew Bynum\bynuman01,C,19,LAL,82,53,1793,5,8.9,0.558,0,0.1,0,5,8.8,0.561,2.9,4.3,0.668,2.8,6.9,9.7,1.9,0.2,2.6,2.3,5,12.8,2.13
71,José Calderón\caldejo01,PG,25,TOR,77,11,1614,5.9,11.3,0.521,0.6,1.7,0.333,5.3,9.6,0.553,2.6,3.2,0.818,0.5,2.5,3,8.6,1.4,0.1,2.5,3,14.9,1.90
72,Marcus Camby\cambyma01,C,32,DEN,70,70,2369,4.7,10,0.473,0,0,0,4.7,10,0.475,2.4,3.4,0.729,2.5,9.9,12.4,3.4,1.3,3.5,1.9,2.8,11.9,2.11
73,Brian Cardinal\cardibr01,PF,29,MEM,28,1,313,4.8,9.8,0.494,2.1,5.1,0.409,2.8,4.7,0.585,2.9,3.1,0.926,1.5,5.3,6.8,3.6,2.5,0.1,2.6,4.8,14.6,2.03
