Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
74,Rodney Carney\carnero01,SF,22,PHI,67,35,1169,5.6,12.1,0.464,0.8,2.2,0.347,4.8,9.9,0.491,1.6,2.7,0.609,1.2,2.7,3.9,0.8,1.2,0.7,1.3,3.6,13.6,2.01
75,Matt Carroll\carroma01,SG,26,CHA,72,47,1878,5.5,12.6,0.433,2.1,5.1,0.416,3.3,7.5,0.445,3.6,4,0.904,0.7,3.3,4,1.7,1,0.2,1.4,3.4,16.7,1.98
76,Anthony Carter\cartean01,PG,31,DEN,2,0,37,2.9,7.8,0.375,0,1.9,0,2.9,5.8,0.5,0,0,,0,2.9,2.9,10.7,0,1,5.8,3.9,5.8,1.85
77,Vince Carter\cartevi01,SG,30,NJN,82,82,3126,8.4,18.4,0.454,1.8,5,0.357,6.6,13.4,0.491,5.3,6.6,0.802,1.3,4.4,5.7,4.5,0.9,0.3,2.5,3.1,23.8,1.98
78,Sam Cassell\cassesa01,PG,37,LAC,58,30,1407,6.7,16,0.418,0.8,2.8,0.294,5.9,13.2,0.444,4.1,4.7,0.879,0.7,3.6,4.3,6.9,0.7,0.2,2.6,3.2,18.3,1.90
79,Kelvin Cato\catoke01,C,32,NYK,18,0,95,2.7,8.3,0.318,0,0,,2.7,8.3,0.318,3,4.5,0.667,4.5,7.2,11.7,0,1.1,3.8,2.3,3.8,8.3,2.11
80,Tyson Chandler\chandty01,C,24,NOK,73,73,2525,4.2,6.7,0.624,0,0,0,4.2,6.7,0.625,1.5,2.9,0.527,4.6,8.3,12.9,0.9,0.5,1.8,1.8,3.5,9.8,2.13
81,Josh Childress\childjo01,SG,23,ATL,55,13,2024,4.6,9.2,0.504,0.5,1.4,0.338,4.2,7.8,0.533,3,3.7,0.795,2.2,3.9,6,2.3,1,0.6,1.4,2.1,12.7,2.03
82,Doug Christie\chrisdo01,SG,36,LAC,7,0,82,2.2,7.5,0.294,0.4,2.6,0.167,1.8,4.8,0.364,0.9,1.3,0.667,1.3,3.5,4.8,3.5,1.3,0.4,2.2,4.8,5.7,1.98
83,Speedy Claxton\claxtsp01,PG,28,ATL,42,31,1054,3.1,9.5,0.327,0.2,1,0.214,2.9,8.5,0.34,1.1,2,0.55,0.4,2.4,2.8,6.3,2.5,0.1,2.6,4.5,7.5,1.80
84,Jarron Collins\collija03,C,28,UTA,82,9,913,3,6.7,0.441,0,0,,3,6.7,0.441,2.1,3.3,0.651,2.8,3.9,6.7,2.4,0.5,0.3,1.5,5.8,8,2.11
85,Jason Collins\collija04,PF,28,NJN,80,78,1844,1.1,2.9,0.364,0,0,0,1.1,2.9,0.369,1.2,2.5,0.465,1.8,4.4,6.2,0.9,0.8,0.7,1.4,5.3,3.3,2.13
86,Mardy Collins\collima01,SF,22,NYK,52,9,777,4,10.6,0.382,0.6,2.2,0.277,3.4,8.4,0.409,2.2,3.8,0.585,1.3,3.5,4.8,3.8,1.5,0.1,2.6,3.5,10.9,1.98
87,Nick Collison\collini01,C,26,SEA,82,56,2378,4.8,9.6,0.5,0,0,0,4.8,9.6,0.502,2.3,3,0.774,3.5,6.6,10.1,1.2,0.7,1,1.9,4.4,12,2.08
88,Will Conroy\conrowi01,PG-SG,24,TOT,7,0,52,0,2.1,0,0,0,,0,2.1,0,0,2.8,0,2.1,2.8,4.8,6.2,0,0,1.4,4.8,0,1.88
89,Brian Cook\cookbr01,PF,26,LAL,65,24,1018,6.5,14.4,0.453,1.6,4.1,0.4,4.9,10.4,0.474,1.2,1.7,0.723,2.2,5.4,7.6,2.3,0.9,1,1.8,4.7,15.9,2.06
90,Jamal Crawford\crawfja01,SG,26,NYK,59,36,2198,5.8,14.5,0.4,1.7,5.3,0.32,4.1,9.2,0.445,3.7,4.5,0.838,0.7,2.4,3.1,4.2,0.9,0.1,2.7,1.9,17,1.96
91,Austin Croshere\croshau01,PF,31,DAL,61,2,727,3.9,11,0.351,1.3,4.5,0.286,2.6,6.5,0.397,2.2,2.6,0.865,1.6,7.6,9.2,2.2,0.7,0.3,1.6,3.4,11.2,2.06
92,Eddy Curry\curryed01,C,24,NYK,81,81,2849,7.4,12.8,0.576,0,0,1,7.4,12.8,0.575,5.1,8.3,0.615,2.5,4.8,7.2,0.9,0.4,0.5,3.7,3.3,19.9,2.13
93,Samuel Dalembert\dalemsa01,C,25,PHI,82,82,2535,5.1,9.3,0.541,0,0,0,5.1,9.3,0.543,2.4,3.2,0.746,3.4,7,10.4,0.9,0.7,2.3,2.3,4.1,12.5,2.11
94,Erick Dampier\dampier01,C,31,DAL,76,73,1915,3.9,6.3,0.626,0,0,,3.9,6.3,0.626,2.2,3.6,0.623,4.1,6.6,10.6,0.8,0.5,1.5,2,4.5,10.1,2.11
95,Antonio Daniels\daniean01,SG,31,WAS,80,8,1761,3.5,8,0.442,0.4,1.3,0.302,3.1,6.7,0.469,4.3,5.1,0.832,0.4,2.7,3.1,5.9,0.8,0.2,1.4,1.6,11.7,1.93
96,Marquis Daniels\daniema01,SG,26,IND,45,4,800,5.8,12.6,0.459,0.3,1.2,0.231,5.5,11.5,0.482,2.5,3.6,0.7,1.2,2.5,3.7,2.6,1.2,0.3,2.5,2.5,14.4,1.98
97,Baron Davis\davisba01,PG,27,GSW,63,62,2221,7.3,16.7,0.439,1.4,4.5,0.304,5.9,12.2,0.489,4.5,6,0.745,0.8,3.6,4.5,8.3,2.2,0.5,3.1,2.9,20.5,1.90
98,Dale Davis\davisda01,C,37,DET,46,6,464,2.6,5.7,0.446,0,0,,2.6,5.7,0.446,1.3,2,0.654,4.6,6.1,10.6,0.9,0.8,2.6,1.2,4.6,6.4,2.11
99,Paul Davis\davispa01,C,22,LAC,31,0,180,4.4,10.4,0.423,0,0,,4.4,10.4,0.423,1.4,2,0.7,4.2,4.6,8.8,1.4,1.2,1,1.6,5.6,10.2,2.11
100,Ricky Davis\davisri01,SF,27,MIN,81,81,3021,6,13,0.465,1.5,3.7,0.397,4.6,9.3,0.492,2.8,3.4,0.839,0.6,3.1,3.8,4.6,1,0.3,2.5,2.3,16.4,1.98
101,Carlos Delfino\delfica01,SG,24,DET,82,1,1372,4.1,9.9,0.415,1.2,3.6,0.333,2.9,6.2,0.462,1.8,2.3,0.787,1.8,5.2,7,2.3,1.2,0.2,1.6,2.5,11.2,1.98
102,Luol Deng\denglu01,SF,21,CHI,82,82,3071,7.4,14.3,0.517,0,0.1,0.143,7.4,14.2,0.519,3.3,4.2,0.777,1.7,5.1,6.8,2.4,1.1,0.6,1.8,2,18.1,2.06
103,Boris Diaw\diawbo01,PF,24,PHO,73,59,2268,4.9,9,0.538,0.2,0.7,0.333,4.6,8.3,0.555,1.3,1.9,0.683,1.4,3.6,5,5.6,0.4,0.6,2.4,2.8,11.3,2.03
104,Yakhouba Diawara\diawaya01,SG,24,DEN,64,19,1177,3.1,8.9,0.342,1.5,5.2,0.288,1.6,3.7,0.418,1.1,1.6,0.66,0.8,2.5,3.4,1.7,0.9,0.2,1.1,4,8.7,2.01
105,Dan Dickau\dickada01,PG,28,POR,50,3,444,4.4,12.2,0.358,1.3,4.9,0.262,3.1,7.3,0.422,3.4,4.3,0.792,0.6,2.9,3.5,5.7,1.1,0.1,2.2,4.5,13.5,1.83
106,Travis Diener\dienetr01,PG,24,ORL,26,0,288,4.2,10,0.425,2.3,6.2,0.36,2,3.7,0.533,1.5,1.9,0.8,0.4,1.9,2.3,4.4,0.5,0,1.6,3.4,12.2,1.85
107,Ike Diogu\dioguik01,PF,23,TOT,59,2,760,6,12.6,0.477,0,0,,6,12.6,0.477,5.3,6.6,0.8,3.6,6.1,9.6,1.2,0.4,1.2,3.2,5.8,17.3,2.03
108,DeSagana Diop\diopde01,C,25,DAL,81,9,1480,1.7,3.7,0.47,0,0,0,1.7,3.6,0.473,1.2,2.1,0.558,4,6.6,10.7,0.7,1,2.7,1.5,5.9,4.6,2.13
109,Juan Dixon\dixonju01,SG,28,TOT,81,6,1926,5.6,13.1,0.425,1.5,4.2,0.35,4.1,8.9,0.461,1.9,2.2,0.871,0.5,2.4,3,2.3,1.4,0.2,1.9,3.3,14.5,1.90
110,Michael Doleac\doleami01,C,29,MIA,56,0,698,4.2,9,0.469,0,0.1,0,4.2,9,0.471,1.9,2.1,0.878,2.3,5.7,8,1.1,0.9,0.8,1.5,5,10.3,2.11
111,Keyon Dooling\doolike01,SG,26,ORL,66,2,1435,4.7,11.5,0.41,0.8,2.4,0.323,3.9,9.1,0.434,2.9,3.5,0.809,0.6,1.6,2.2,2.8,1.3,0.4,1.8,3.1,13.1,1.90
112,Quincy Douby\doubyqu01,PG,22,SAC,42,0,359,4.8,12.6,0.381,1.2,5,0.24,3.6,7.6,0.474,1.1,1.5,0.733,1.1,2.6,3.7,1.5,1.5,0.4,1.5,2.1,11.9,1.90
113,Chris Duhon\duhonch01,PG,24,CHI,78,30,1906,3.7,9.1,0.408,1.7,4.6,0.359,2.1,4.5,0.458,1.4,1.9,0.752,0.4,2.8,3.2,5.9,1.3,0.1,2,2.8,10.5,1.85
114,Tim Duncan*\duncati01,C,30,SAS,80,80,2726,8.2,14.9,0.546,0,0.1,0.111,8.1,14.8,0.55,4.8,7.5,0.637,2.8,8.4,11.2,3.6,0.9,2.5,3,2.7,21.1,2.11
115,Mike Dunleavy\dunlemi02,SG-PF,26,TOT,82,49,2580,5.4,11.9,0.452,1,3.1,0.313,4.4,8.7,0.502,2.9,3.8,0.784,1.2,4.8,6,3.2,1.2,0.3,2.1,2.8,14.6,2.06
116,Ronald Dupree\duprero01,SF,26,DET,19,0,94,4.2,11.9,0.355,0,0,,4.2,11.9,0.355,1.1,3.4,0.333,1.9,4.6,6.5,1.9,1.9,0.4,1.1,4.6,9.6,2.01
117,Monta Ellis\ellismo01,SG,21,GSW,77,53,2638,6.6,13.8,0.475,0.5,2,0.273,6,11.8,0.509,3.7,4.9,0.763,0.8,2.5,3.3,4.4,1.8,0.3,3,2.9,17.4,1.90
118,Francisco Elson\elsonfr01,C,30,SAS,70,41,1332,3.9,7.6,0.511,0,0.1,0,3.9,7.6,0.514,1.7,2.2,0.775,2.2,6.9,9.1,1.5,0.8,1.6,2.3,5,9.5,2.13
119,Melvin Ely\elyme01,PF-C,28,TOT,30,0,309,3.4,9.3,0.363,0,0,,3.4,9.3,0.363,3.6,5.5,0.66,1.7,4.4,6.2,2.1,0.7,0.9,3.3,5.9,10.4,2.08
120,Maurice Evans\evansma01,SG,28,LAL,76,10,1732,4.9,11.3,0.432,1,2.8,0.361,3.9,8.5,0.455,2.5,3.2,0.787,1.9,2.7,4.6,1.5,0.8,0.3,1.2,2.6,13.3,1.96
121,Reggie Evans\evansre01,PF,26,DEN,66,11,1127,3.7,6.9,0.544,0,0,,3.7,6.9,0.544,2.9,5.8,0.497,5,9.7,14.7,1.4,1.3,0.5,3,4.6,10.4,2.03
